authorDisplayName,textDisplay,likeCount,publishedAt
@ferwoodz,"I am so proud of them for being so strong and brave. I bet it was scary for them to keep promoting as five, but even after all the grieving and thoughts they stood their ground to keep carrying this name with love. They’re so talented and this song is a HIT.",2199,2026-05-20 13:11:11 UTC
@ferwoodz,"I love the fact that all 5 members have a chance to sing the chorus in their own mesmerizing way, this is peak boy group excellence.",1020,2026-05-20 19:11:48 UTC
@thenop1989,"My Top 5 are Hanbin, Jiwoong, Matthew, Taerae, Gunwook🎉🎉 they look so cool",1098,2026-05-20 13:03:10 UTC
@ameliaesthetic82,hanbin’s eyes deserve their own fandom atp,354,2026-05-21 04:34:46 UTC
@ameliaesthetic82,hanbin's gaze is actually insane i can’t breathe,189,2026-05-21 04:34:40 UTC
@아아-r9c3m,근데 진짜 구라가 아니라 노래가 들어도 들어도 안 질림,482,2026-05-20 15:34:10 UTC
@jebesrae,I really want to thank the choreographers for the creating the dance in such a way that all the members have killing parts and stand out so clearly but do not overshadow each other. It's such a cool and aesthetic choreo,1108,2026-05-20 14:06:55 UTC
@yurrrri710,한 명 한 명 너무 잘 보이고 밸런스 짱좋음! 노래 너무 세련되고 안무 멋지고 그냥 미쳤다,531,2026-05-20 13:13:37 UTC
@코리_Corry,셜록 보고 감탄하고 있었다니 알고리즘이 이 영상 추천해줌,158,2026-05-22 14:36:27 UTC
@qazplm573,"예전보다 오히려 퀄이 너무좋아져서 눈귀가 편안해짐.
이래서 역시 실력이 젤 중요함",63,2026-05-21 22:45:57 UTC
@Leo-n7w8v,2:44 hanbin so handsome and cute,83,2026-05-20 14:04:35 UTC
@sprout4507,아니 5인조라고 걱정하던 사람들 어디갔냐구요!! 오히려 멤버들의 이전의 몰랐던 매력을 보여줘서 더 좋은 거 같아요 최고예요,229,2026-05-20 14:30:05 UTC
@scssbin,입덕,186,2026-05-20 13:02:26 UTC
@crystalli8948,My baby Hanbin!!❤,73,2026-05-20 20:42:56 UTC
@Syomigongjunim,"모든 음악방송이
이렇게 카메라 잡아줬으면 좋겠음 ㅜㅜ",57,2026-05-24 01:54:53 UTC
@yurrrri710,노래가 어쩜 이렇지? 2세대 느낌이 나면서도 또 너무 세련됐어 비트도 미쳤고 안무랑 개멋짐,135,2026-05-20 13:54:54 UTC
@얌얌-o2u,5명이 한명한명 너무 잘보이고 잘어울림,78,2026-05-20 13:08:47 UTC
@YoutubeHandle5,Hanbin’s dance move!,93,2026-05-20 14:46:01 UTC
@sunflower-6131,TOP5 노래 너무 좋은데 더 많은 사람들이 봐주면 좋겠다,55,2026-05-20 23:28:00 UTC
@SuspiciousRacoon,잘생긴애들 5명 모아놓으니 안볼수가없네,48,2026-05-22 15:13:13 UTC
@リスペクト-e1r,最初五人並んだ瞬間思わず息を呑んだ。 ZEROBASEONEがかっこよすぎる...,259,2026-05-20 13:03:17 UTC
@zerobaseoneforeversoulmates,HANBIN IS SO GORGEOUS,60,2026-05-20 14:28:58 UTC
@sevennrain,SUNG HANBIN,79,2026-05-20 13:32:30 UTC
@플리z,와 진짜 1일20번은 듣는듯  애네 노래전곡들어본거는 첨ㅋㅋㅋ,50,2026-05-25 03:59:49 UTC
@Iuyt-o8q,"타팬인데 예전에 엔싱크 느낌도 나고
뭔가 엄청 심플 세련되어 보임 (엄지척)",118,2026-05-22 02:34:50 UTC
@滴答啊,hanbin is so handsome.he dances best,67,2026-05-20 14:35:21 UTC
@나니나닝-h7w,성한빈 잘생김❤,43,2026-05-20 13:31:24 UTC
@아무도아님-o9p,너무잘해 너무 잘한다는 말 말고는 생각이안남 그냥 너무 잘해서 ㅜ,90,2026-05-20 13:10:13 UTC
@바다-m6h,"이번곡은 지금까지 나온 곡들중에서 제일 잘 뽑은거
같아요.각자 매력들이 너무 잘보여서 좋네요!",62,2026-05-21 01:06:47 UTC
@satriaba1346,Hanbin's hair style 😍 love it,40,2026-05-21 03:56:12 UTC
@modori56,아 남자들 진짜 좋다🔝🔝🔝🔝🔝,80,2026-05-20 13:04:27 UTC
@eithwethwemg7017,Sung han bin so handsome😍😍😍😍😍,60,2026-05-20 13:43:55 UTC
@bunnykookie8359,Sung Hanbin thumbnail 🔥,44,2026-05-20 15:27:11 UTC
@혜진-y1f,앞으로가 더더 기대되는 조합!! 보여줄게 많을거같아서 설렘..오래보자 얘들아!!,36,2026-05-22 09:07:48 UTC
@fulove-s2k,성한빈 썸넬보고 안 들어올 수 가 없음,10,2026-05-21 14:39:05 UTC
@na-ming_,미모에 퍼포먼스에 스타일링까지 미쳤다 진짜 나 뮤비랑 컴백 프리미어에 갇혀 살았는데 스춤까지 추가해야해,96,2026-05-20 13:10:01 UTC
@zebewonforever,"Top 5 cool guys Sung Hanbin, Kim Jiwoong, Kim Taerae, Seok Matthew, Park Gunwook",170,2026-05-20 13:21:32 UTC
@stasiahere,SUNG HANBINNNN,50,2026-05-20 14:10:54 UTC
@kyulforbin,Sung hanbin intro is masterpiece ✨✨✨,23,2026-05-22 06:35:11 UTC
@khansaqonita7714,다시 입덕 계속 입덕중,16,2026-05-20 18:20:05 UTC
@xofochlrh,아름답다 TOP5 드가자🔝🔝🔝🔝🔝,66,2026-05-20 13:02:41 UTC
@barrameeing9683,Hanbin so cute❤,54,2026-05-20 13:41:48 UTC
